method	len_lst	n_pools	iters	error
basic	500	25	4	1
basic	500	26	4	1
basic	500	27	4	1
basic	500	28	5	1
basic	500	29	5	1
basic	1000	15	5	1
basic	1000	17	6	1
basic	1000	18	6	1
basic	1000	20	7	1
basic	1000	22	8	1
basic	1000	23	8	1
basic	1000	25	9	1
basic	1000	27	10	1
basic	1000	28	10	1
basic	1000	21	3	1
basic	1000	24	4	1
basic	1000	25	4	1
basic	1000	26	4	1
basic	1000	27	4	1
basic	1000	28	5	1
basic	1000	29	5	1
basic	1500	15	5	1
basic	1500	17	6	1
basic	1500	18	6	1
basic	1500	20	7	1
basic	1500	22	8	1
basic	1500	23	8	1
basic	1500	25	9	1
basic	1500	27	10	1
basic	1500	28	10	1
basic	1500	24	4	1
basic	1500	25	4	1
basic	1500	26	4	1
basic	1500	27	4	1
basic	1500	28	5	1
basic	1500	29	5	1
